,x,y,target
0,-12.064269065856934,81.7280044555664,T
1,11.607255935668945,-42.69862365722656,I
2,23.926185607910156,-7.655250072479248,D
3,-50.81095504760742,-15.022012710571289,N
4,34.76891326904297,74.48286437988281,G
5,59.01982116699219,0.30424007773399353,S
6,21.907358169555664,30.593984603881836,B
7,36.21955108642578,-74.07289123535156,A
8,-85.6973648071289,-4.447885990142822,J
9,12.48752212524414,-60.28251266479492,M
10,50.7374382019043,12.781020164489746,X
11,-4.062559127807617,-18.154006958007812,O
12,-8.856200218200684,27.705129623413086,G
13,-23.477705001831055,7.82226037979126,M
14,46.56478500366211,63.859954833984375,R
15,0.9791891574859619,-32.271156311035156,F
16,11.80794906616211,60.04395294189453,O
17,3.333272933959961,-45.896549224853516,C
18,-6.024037837982178,-52.23199462890625,T
19,-87.33786010742188,-4.603734016418457,J
20,-80.00506591796875,-9.584975242614746,J
21,15.00865650177002,57.20341110229492,H
22,37.1566047668457,34.82602310180664,S
23,-0.10412272065877914,44.23670959472656,O
24,-75.57028198242188,-3.063271999359131,J
25,67.11780548095703,43.49806594848633,C
26,-40.53832244873047,-10.404623985290527,M
27,-52.50214767456055,-22.692157745361328,W
28,-11.333409309387207,36.24988555908203,H
29,22.80171775817871,56.78724670410156,G
30,-90.235107421875,13.579477310180664,L
31,-47.35487365722656,36.29768753051758,L
32,37.97450637817383,-46.0642204284668,X
33,-29.392364501953125,18.193761825561523,B
34,-42.12295913696289,-8.150360107421875,M
35,25.033308029174805,55.470481872558594,G
36,9.788256645202637,52.55620193481445,O
37,-43.24302291870117,-44.16765594482422,P
38,-20.507225036621094,25.616544723510742,G
39,89.07218170166016,13.76031494140625,E
40,25.07231903076172,-20.544076919555664,X
41,51.076499938964844,20.543312072753906,E
42,35.288822174072266,-11.607476234436035,X
43,32.22542953491211,44.64885330200195,G
44,-41.6842041015625,-25.904254913330078,V
45,50.323951721191406,11.460768699645996,X
46,-26.09322166442871,23.743789672851562,W
47,26.99580955505371,64.690185546875,G
48,7.402663230895996,-18.4711856842041,R
49,60.943016052246094,5.498040676116943,S
50,-13.795958518981934,0.931285560131073,Y
51,-90.32406616210938,16.289562225341797,L
52,2.8955318927764893,-84.05144500732422,Y
53,7.048255443572998,9.739410400390625,J
54,31.809179306030273,28.021120071411133,S
55,-23.777442932128906,50.14699172973633,Q
56,13.939041137695312,-2.053325891494751,Q
57,-9.840863227844238,64.88922882080078,D
58,3.0682003498077393,-44.12629699707031,C
59,-54.036006927490234,21.367467880249023,L
60,-66.03837585449219,60.05127716064453,N
61,71.18070220947266,-31.722702026367188,C
62,4.963977813720703,-44.05756378173828,E
63,2.8413593769073486,14.00975513458252,X
64,17.882596969604492,61.608741760253906,H
65,-90.07537078857422,13.468290328979492,L
